date,pool_id,day,shrimp_survival_proportion,shrimp_population,shrimp_grown,shrimp_biomass,food_amount,food_type,feeder_type
22/06/19,2,-1,100.00 %,"780,000",0.18,140.40,0.00,NA,NA
23/06/19,2,1,98.00 %,"764,400",0.18,137.60,15.00,NW 38 % # 3,Boleo
24/06/19,2,2,97.75 %,"762,450",0.24,183.00,35.00,NW 38 % # 3,Boleo
25/06/19,2,3,97.50 %,"760,500",0.30,228.20,60.00,NW 38 % # 3,Boleo
26/06/19,2,4,97.25 %,"758,550",0.37,280.70,40.00,NW 38 % # 3,Boleo
27/06/19,2,5,97.00 %,"756,600",0.44,332.90,90.00,NW 38 % # 3,Boleo
28/06/19,2,6,96.75 %,"754,650",0.50,377.30,100.00,NW 38 % # 3,Boleo
29/06/19,2,7,96.50 %,"752,700",0.57,429.00,110.00,NW 38 % # 3,Boleo
30/06/19,2,8,96.25 %,"750,750",0.63,473.00,110.00,NW 38 % # 3,Boleo/Platos
01/07/19,2,9,96.00 %,"748,800",0.75,561.60,110.00,NW 35 % # 4,Boleo/Platos
02/07/19,2,10,95.75 %,"746,850",0.00,0.00,110.00,NW 35 % # 4,Boleo/Platos
03/07/19,2,11,95.50 %,"744,900",1.14,849.20,110.00,NW 35 % # 4,Boleo/Platos
04/07/19,2,12,95.25 %,"742,950",1.33,988.10,110.00,NW 35 % # 4,Boleo/Platos
05/07/19,2,13,95.00 %,"741,000",1.53,"1,133.70",110.00,NW 35 % # 4,Boleo/Platos
06/07/19,2,14,94.50 %,"737,100",1.78,"1,312.00",125.00,NW 35 % # 4,Boleo/Platos
07/07/19,2,15,94.00 %,"733,200",2.03,"1,488.40",100.00,OPL 35 % # 5,AA/platos
08/07/19,2,16,93.50 %,"729,300",2.15,"1,568.00",100.00,OPL 35 % # 5,AA/platos
09/07/19,2,17,93.00 %,"725,400",2.42,"1,755.50",125.00,OPL 35 % # 5,AA/platos
10/07/19,2,18,93.50 %,"729,300",2.70,"1,969.10",140.00,OPL 35 % # 5,AA/platos
